"games_before_purchase","balance_before_purchase","purchase_type"
1,25,"iap"
7,192,"iap"
5,205,"iap"
7,170,"iap"
5,294,"iap"
2,40,"iap"
2,15,"iap"
20,198,"iap"
0,970,"iap"
0,75,"iap"
2,194,"iap"
2,90,"iap"
1,250,"iap"
2,95,"iap"
3,20,"iap"
24,50,"iap"
4,55,"iap"
1,40,"iap"
12,6,"iap"
3,207,"iap"
4,250,"iap"
5,173,"iap"
3,120,"iap"
1,240,"iap"
2,200,"iap"
2,100,"iap"
3,188,"iap"
3,170,"iap"
8,179,"iap"
2,11,"iap"
2,40,"iap"
6,123,"iap"
9,23,"iap"
0,700,"iap"
0,95,"iap"
3,70,"iap"
3,70,"iap"
3,23,"iap"
2,242,"iap"
7,65,"iap"
5,0,"iap"
2,125,"iap"
3,90,"iap"
3,52,"iap"
4,0,"iap"
2,0,"iap"
2,170,"iap"
5,183,"iap"
13,93,"iap"
0,0,"iap"
4,90,"iap"
2,0,"iap"
1,150,"iap"
2,5,"iap"
16,37,"iap"
12,80,"iap"
3,38,"iap"
2,90,"iap"
2,120,"iap"
2,80,"iap"
1,379,"iap"
1,25,"iap"
5,24,"iap"
5,198,"iap"
2,21,"iap"
1,190,"iap"
3,140,"iap"
2,200,"iap"
3,220,"iap"
12,51,"iap"
5,205,"iap"
13,77,"iap"
2,25,"iap"
1,175,"iap"
5,90,"iap"
3,31,"iap"
0,700,"iap"
4,146,"iap"
0,0,"iap"
2,0,"iap"
4,214,"iap"
0,0,"iap"
5,0,"iap"
3,1,"iap"
0,0,"iap"
2,55,"iap"
4,168,"iap"
3,90,"iap"
6,104,"iap"
8,44,"iap"
4,185,"iap"
1,45,"iap"
1,105,"iap"
1,290,"iap"
1,25,"iap"
2,133,"iap"
1,120,"iap"
3,0,"iap"
8,30,"iap"
3,78,"iap"
7,30,"iap"
1,75,"iap"
2,295,"iap"
7,80,"iap"
2,120,"iap"
20,14,"iap"
3,222,"iap"
2,25,"iap"
4,200,"iap"
7,5,"iap"
3,100,"iap"
5,19,"iap"
3,120,"iap"
25,1,"iap"
1,25,"iap"
2,110,"iap"
2,45,"iap"
4,101,"iap"
9,183,"iap"
6,20,"iap"
2,178,"iap"
3,44,"iap"
0,0,"iap"
4,228,"iap"
5,74,"iap"
1,65,"iap"
5,55,"iap"
4,221,"iap"
2,65,"iap"
17,174,"iap"
5,45,"iap"
3,320,"iap"
0,0,"iap"
3,701,"iap"
2,213,"iap"
2,125,"iap"
4,180,"iap"
4,150,"iap"
0,0,"iap"
4,50,"iap"
1,400,"iap"
3,155,"iap"
4,52,"iap"
22,295,"iap"
1,325,"iap"
0,700,"iap"
3,0,"iap"
1,250,"iap"
2,123,"iap"
1,100,"iap"
2,175,"iap"
37,122,"iap"
4,15,"iap"
7,14,"iap"
8,213,"iap"
2,295,"iap"
5,31,"iap"
1,150,"iap"
5,265,"iap"
2,50,"iap"
0,218,"iap"
1,243,"iap"
1,400,"iap"
6,10,"iap"
3,21,"iap"
0,0,"iap"
2,285,"iap"
9,103,"iap"
0,0,"iap"
1,45,"iap"
1,195,"iap"
0,0,"iap"
0,20,"iap"
5,127,"iap"
22,1,"iap"
2,160,"iap"
12,75,"iap"
3,0,"iap"
1,93,"iap"
0,700,"iap"
1,45,"iap"
1,45,"iap"
2,20,"iap"
3,45,"iap"
9,24,"iap"
7,42,"iap"
1,45,"iap"
4,20,"iap"
5,15,"iap"
2,168,"iap"
2,50,"iap"
4,55,"iap"
0,0,"iap"
6,64,"iap"
5,263,"iap"
3,100,"iap"
4,121,"iap"
5,110,"iap"
3,3,"iap"
3,216,"iap"
25,151,"iap"
1,88,"iap"
0,0,"iap"
0,0,"iap"
4,0,"iap"
1,45,"iap"
17,167,"iap"
11,31,"iap"
4,100,"iap"
0,122,"iap"
2,209,"iap"
4,108,"iap"
4,247,"iap"
5,265,"iap"
3,155,"iap"
3,177,"iap"
6,430,"iap"
1,224,"iap"
6,175,"iap"
2,20,"iap"
17,183,"iap"
1,100,"iap"
8,145,"iap"
7,8,"iap"
10,120,"iap"
5,110,"iap"
7,34,"iap"
3,0,"iap"
4,243,"iap"
8,11,"iap"
3,45,"iap"
3,100,"iap"
4,27,"iap"
69,60,"iap"
3,148,"iap"
2,200,"iap"
35,133,"iap"
6,173,"iap"
1,230,"iap"
27,17,"iap"
10,28,"iap"
0,0,"iap"
5,14,"iap"
5,120,"iap"
10,60,"iap"
3,50,"iap"
3,13,"iap"
5,80,"iap"
4,10,"iap"
2,170,"iap"
5,181,"iap"
2,145,"iap"
3,82,"iap"
4,37,"iap"
9,124,"iap"
9,13,"iap"
3,160,"iap"
4,103,"iap"
2,68,"iap"
2,40,"iap"
2,63,"iap"
8,210,"iap"
6,72,"iap"
3,145,"iap"
3,10,"iap"
5,50,"iap"
3,180,"iap"
7,341,"iap"
8,92,"iap"
0,0,"iap"
16,210,"iap"
1,195,"iap"
4,110,"iap"
1,270,"iap"
6,165,"iap"
2,20,"iap"
4,170,"iap"
6,120,"iap"
3,80,"iap"
4,240,"iap"
4,140,"iap"
30,103,"iap"
0,0,"iap"
2,13,"iap"
4,85,"iap"
12,30,"iap"
6,20,"iap"
5,122,"iap"
4,55,"iap"
4,85,"iap"
4,257,"iap"
5,76,"iap"
0,0,"iap"
0,0,"iap"
4,100,"iap"
0,0,"iap"
4,23,"iap"
3,45,"iap"
6,290,"iap"
5,37,"iap"
3,176,"iap"
3,35,"iap"
18,65,"iap"
7,65,"iap"
0,20,"iap"
5,0,"iap"
7,9,"iap"
0,20,"iap"
1,650,"iap"
7,136,"iap"
1,105,"iap"
6,126,"iap"
5,67,"iap"
11,120,"iap"
3,120,"iap"
11,156,"iap"
4,40,"iap"
2,150,"iap"
5,10,"iap"
2,215,"iap"
2,220,"iap"
0,0,"iap"
1,250,"iap"
0,20,"iap"
2,50,"iap"
2,21,"iap"
0,0,"iap"
0,0,"iap"
6,40,"iap"
1,176,"iap"
2,50,"iap"
4,255,"iap"
5,196,"iap"
6,135,"iap"
3,160,"iap"
4,273,"iap"
26,358,"iap"
2,150,"iap"
5,75,"iap"
2,70,"iap"
4,210,"iap"
81,195,"iap"
4,183,"iap"
1,186,"iap"
0,20,"iap"
0,700,"iap"
6,35,"iap"
0,0,"iap"
3,200,"iap"
3,9,"iap"
5,45,"iap"
3,233,"iap"
2,182,"iap"
4,36,"iap"
7,195,"iap"
4,120,"iap"
0,0,"iap"
4,20,"iap"
9,40,"iap"
4,11,"iap"
1,100,"iap"
2,570,"iap"
3,420,"iap"
2,45,"iap"
2,2,"iap"
3,20,"iap"
6,110,"iap"
5,6,"iap"
7,77,"iap"
0,40,"iap"
0,0,"iap"
0,700,"iap"
4,255,"iap"
4,140,"iap"
1,70,"iap"
0,75,"iap"
0,0,"iap"
3,32,"iap"
8,113,"iap"
4,225,"iap"
2,15,"iap"
5,74,"iap"
2,140,"iap"
4,205,"iap"
9,130,"iap"
3,235,"iap"
0,20,"iap"
3,195,"iap"
4,500,"iap"
2,170,"iap"
0,0,"iap"
3,5,"iap"
3,67,"iap"
3,239,"iap"
4,28,"iap"
1,460,"iap"
2,35,"iap"
2,0,"iap"
2,100,"iap"
4,17,"iap"
2,140,"iap"
1,10,"iap"
5,150,"iap"
2,25,"iap"
1,170,"iap"
2,215,"iap"
1,620,"iap"
5,213,"iap"
0,0,"iap"
0,0,"iap"
3,50,"iap"
3,345,"iap"
3,95,"iap"
0,40,"iap"
55,27,"iap"
4,95,"iap"
7,9,"iap"
5,48,"iap"
28,32,"iap"
3,45,"iap"
3,200,"iap"
2,25,"iap"
7,90,"iap"
4,160,"iap"
3,45,"iap"
4,25,"iap"
4,110,"iap"
3,107,"iap"
7,230,"iap"
3,5,"iap"
0,200,"iap"
9,23,"iap"
2,200,"iap"
3,113,"iap"
0,20,"iap"
2,183,"iap"
3,4,"iap"
0,190,"iap"
3,50,"iap"
1,100,"iap"
33,4,"iap"
3,25,"iap"
0,700,"iap"
10,213,"iap"
30,25,"iap"
1,45,"iap"
8,45,"iap"
2,235,"iap"
2,163,"iap"
3,25,"iap"
2,71,"iap"
3,218,"iap"
0,775,"iap"
2,25,"iap"
10,78,"iap"
1,320,"iap"
2,162,"iap"
5,270,"iap"
5,14,"iap"
1,45,"iap"
3,20,"iap"
2,25,"iap"
3,55,"iap"
5,153,"iap"
20,48,"iap"
0,0,"iap"
0,0,"iap"
7,268,"iap"
3,200,"iap"
2,245,"iap"
10,81,"iap"
3,0,"iap"
5,48,"iap"
11,233,"iap"
5,16,"iap"
2,167,"iap"
6,70,"iap"
1,175,"iap"
1,25,"iap"
1,18,"iap"
0,20,"iap"
2,220,"iap"
11,4,"iap"
2,95,"iap"
2,0,"iap"
3,46,"iap"
0,75,"iap"
4,85,"iap"
11,165,"iap"
1,287,"iap"
2,350,"iap"
10,822,"iap"
17,90,"iap"
3,133,"iap"
6,203,"iap"
3,215,"iap"
2,200,"iap"
2,200,"iap"
3,20,"iap"
4,140,"iap"
29,0,"iap"
9,55,"iap"
2,40,"iap"
12,184,"iap"
7,105,"iap"
2,100,"iap"
0,200,"iap"
1,450,"iap"
1,0,"iap"
2,90,"iap"
22,36,"iap"
1,350,"iap"
5,95,"iap"
5,35,"iap"
2,288,"iap"
4,125,"iap"
4,135,"iap"
2,168,"iap"
4,55,"iap"
6,285,"iap"
7,190,"iap"
3,590,"iap"
10,150,"iap"
0,0,"iap"
5,67,"iap"
12,110,"iap"
2,288,"iap"
5,112,"iap"
2,225,"iap"
4,10,"iap"
8,24,"iap"
4,225,"iap"
0,0,"iap"
2,240,"iap"
3,70,"iap"
12,288,"iap"
2,0,"iap"
5,20,"iap"
0,700,"iap"
4,93,"iap"
2,20,"iap"
0,0,"iap"
3,0,"iap"
4,0,"iap"
1,0,"iap"
3,95,"iap"
1,150,"iap"
6,56,"iap"
6,57,"iap"
4,190,"iap"
4,240,"iap"
3,72,"iap"
3,30,"iap"
4,90,"iap"
5,65,"iap"
2,100,"iap"
0,20,"iap"
2,25,"iap"
7,78,"iap"
2,15,"iap"
42,1390,"iap"
3,70,"iap"
8,56,"iap"
6,80,"iap"
10,467,"iap"
1,40,"iap"
1,290,"iap"
2,100,"iap"
0,700,"iap"
18,7,"iap"
2,210,"iap"
2,70,"iap"
4,90,"iap"
4,805,"iap"
2,70,"iap"
2,170,"iap"
7,51,"iap"
2,75,"iap"
9,50,"iap"
7,130,"iap"
10,99,"iap"
3,280,"iap"
3,76,"iap"
5,148,"iap"
11,259,"iap"
29,50,"iap"
1,270,"iap"
1,25,"iap"
1,261,"iap"
27,2998,"iap"
0,0,"iap"
2,100,"iap"
39,222,"iap"
4,60,"iap"
1,400,"iap"
3,45,"iap"
2,96,"iap"
2,18,"iap"
5,55,"iap"
5,107,"iap"
6,35,"iap"
12,170,"iap"
0,35,"iap"
2,120,"iap"
3,34,"iap"
3,10,"iap"
2,60,"iap"
2,25,"iap"
4,0,"iap"
3,150,"iap"
2,70,"iap"
3,15,"iap"
2,220,"iap"
8,135,"iap"
5,150,"iap"
4,20,"iap"
0,20,"iap"
7,267,"iap"
10,215,"iap"
67,722,"iap"
18,549,"iap"
7,686,"iap"
8,3,"iap"
3,56,"iap"
0,20,"iap"
0,0,"iap"
7,155,"iap"
4,40,"iap"
3,75,"iap"
2,25,"iap"
2,100,"iap"
2,125,"iap"
2,15,"iap"
1,25,"iap"
2,165,"iap"
2,50,"iap"
3,50,"iap"
6,55,"iap"
2,50,"iap"
2,120,"iap"
4,201,"iap"
3,50,"iap"
3,295,"iap"
9,85,"iap"
11,50,"iap"
10,265,"iap"
1,400,"iap"
7,95,"iap"
4,169,"iap"
2,170,"iap"
3,695,"iap"
0,0,"iap"
4,20,"iap"
4,120,"iap"
5,50,"iap"
4,0,"iap"
5,35,"iap"
4,145,"iap"
8,43,"iap"
3,170,"iap"
10,198,"iap"
0,0,"iap"
7,60,"iap"
4,0,"iap"
21,155,"iap"
1,70,"iap"
3,50,"iap"
0,0,"iap"
6,55,"iap"
12,14,"iap"
1,150,"iap"
5,181,"iap"
5,110,"iap"
5,195,"iap"
3,86,"iap"
4,160,"iap"
2,275,"iap"
3,75,"iap"
4,115,"iap"
5,250,"iap"
6,140,"iap"
4,75,"iap"
10,245,"iap"
2,275,"iap"
2,0,"iap"
2,250,"iap"
11,250,"iap"
5,40,"iap"
5,72,"iap"
17,239,"iap"
24,43,"iap"
3,164,"iap"
17,179,"iap"
0,0,"iap"
4,150,"iap"
1,45,"iap"
20,13,"iap"
8,190,"iap"
4,360,"iap"
2,145,"iap"
7,110,"iap"
4,130,"iap"
7,25,"iap"
8,35,"iap"
4,100,"iap"
32,70,"iap"
8,5,"iap"
8,135,"iap"
5,10,"iap"
17,725,"iap"
5,45,"iap"
6,70,"iap"
3,0,"iap"
5,245,"iap"
0,0,"iap"
2,100,"iap"
1,250,"iap"
0,0,"iap"
1,250,"iap"
2,95,"iap"
12,170,"iap"
6,100,"iap"
2,50,"iap"
3,160,"iap"
0,0,"iap"
7,145,"iap"
1,175,"iap"
4,45,"iap"
4,160,"iap"
20,38,"iap"
3,225,"iap"
5,190,"iap"
4,86,"iap"
2,100,"iap"
0,700,"iap"
5,160,"iap"
1,250,"iap"
2,100,"iap"
0,0,"iap"
1,45,"iap"
0,0,"iap"
2,240,"iap"
3,30,"iap"
3,115,"iap"
9,25,"iap"
3,345,"iap"
0,0,"iap"
0,700,"iap"
3,180,"iap"
1,25,"iap"
3,45,"iap"
0,0,"iap"
0,0,"iap"
2,50,"iap"
1,45,"iap"
1,25,"iap"
5,122,"iap"
1,405,"iap"
8,120,"iap"
1,95,"iap"
2,100,"iap"
53,67,"iap"
1,468,"iap"
6,110,"iap"
3,250,"iap"
0,0,"iap"
4,0,"iap"
5,20,"iap"
3,275,"iap"
3,100,"iap"
4,105,"iap"
13,252,"iap"
5,225,"iap"
10,170,"iap"
6,245,"iap"
2,255,"iap"
4,256,"iap"
3,115,"iap"
5,130,"iap"
4,45,"iap"
5,275,"iap"
4,170,"iap"
3,0,"iap"
1,261,"iap"
1,25,"iap"
10,35,"iap"
3,100,"iap"
3,175,"iap"
0,0,"iap"
1,515,"iap"
0,0,"iap"
13,0,"iap"
0,0,"iap"
7,2,"iap"
7,45,"iap"
6,100,"iap"
2,185,"iap"
10,125,"iap"
4,90,"iap"
10,150,"iap"
4,23,"iap"
7,445,"iap"
3,175,"iap"
4,0,"iap"
1,0,"iap"
1,400,"iap"
36,10,"iap"
2,170,"iap"
2,160,"iap"
1,25,"iap"
1,250,"iap"
8,190,"iap"
8,50,"iap"
2,55,"iap"
62,50,"iap"
11,125,"iap"
3,25,"iap"
15,95,"iap"
16,15,"iap"
4,0,"iap"
5,150,"iap"
0,155,"iap"
2,40,"iap"
8,5,"iap"
2,0,"iap"
0,0,"iap"
2,0,"iap"
12,340,"iap"
0,700,"iap"
1,70,"iap"
4,175,"iap"
3,20,"iap"
3,135,"iap"
3,30,"iap"
3,60,"iap"
4,35,"iap"
3,25,"iap"
5,42,"iap"
5,140,"iap"
0,0,"iap"
8,25,"iap"
5,95,"iap"
4,25,"iap"
5,150,"iap"
9,110,"iap"
1,270,"iap"
2,0,"iap"
4,35,"iap"
0,0,"iap"
1,25,"iap"
9,348,"iap"
5,50,"iap"
2,45,"iap"
2,50,"iap"
3,70,"iap"
3,20,"iap"
2,15,"iap"
5,65,"iap"
1,20,"iap"
1,770,"iap"
0,0,"iap"
0,0,"iap"
5,250,"iap"
7,45,"iap"
2,300,"iap"
15,173,"iap"
9,395,"iap"
3,95,"iap"
2,75,"iap"
32,70,"iap"
4,110,"iap"
2,25,"iap"
2,100,"iap"
6,0,"iap"
13,85,"iap"
0,0,"iap"
1,32,"iap"
2,20,"iap"
2,120,"iap"
1,17,"iap"
16,145,"iap"
4,125,"iap"
2,50,"iap"
6,130,"iap"
4,220,"iap"
4,125,"iap"
37,280,"iap"
17,0,"iap"
4,45,"iap"
11,155,"iap"
39,133,"iap"
9,535,"iap"
4,10,"iap"
0,0,"iap"
4,15,"iap"
4,145,"iap"
0,0,"iap"
5,0,"iap"
3,153,"iap"
1,35,"iap"
2,350,"iap"
7,145,"iap"
15,75,"iap"
2,150,"iap"
3,200,"iap"
3,10,"iap"
0,0,"iap"
107,166,"iap"
7,20,"iap"
0,0,"iap"
3,10,"iap"
7,508,"iap"
3,100,"iap"
6,60,"iap"
2,0,"iap"
2,25,"iap"
2,270,"iap"
1,90,"iap"
0,0,"iap"
1,270,"iap"
4,220,"iap"
2,9,"iap"
2,25,"iap"
7,296,"iap"
6,160,"iap"
4,35,"iap"
3,335,"iap"
2,200,"iap"
3,50,"iap"
0,0,"iap"
6,130,"iap"
6,230,"iap"
0,0,"iap"
0,0,"iap"
2,295,"iap"
26,225,"iap"
5,30,"iap"
1,145,"iap"
7,40,"iap"
0,0,"iap"
0,0,"iap"
5,50,"iap"
2,0,"iap"
0,0,"iap"
5,115,"iap"
0,40,"iap"
11,1,"iap"
4,175,"iap"
3,245,"iap"
7,165,"iap"
0,20,"iap"
0,20,"iap"
1,175,"iap"
1,100,"iap"
1,325,"iap"
2,100,"iap"
26,230,"iap"
8,315,"iap"
3,0,"iap"
3,4,"iap"
1,45,"iap"
7,63,"iap"
2,50,"iap"
76,123,"iap"
5,165,"iap"
2,65,"iap"
4,150,"iap"
3,45,"iap"
3,170,"iap"
0,0,"iap"
0,20,"iap"
8,25,"iap"
0,0,"iap"
8,100,"iap"
9,138,"iap"
8,118,"iap"
5,200,"iap"
3,145,"iap"
2,150,"iap"
4,145,"iap"
2,125,"iap"
0,0,"iap"
2,45,"iap"
4,0,"iap"
10,45,"iap"
6,200,"iap"
3,800,"iap"
3,0,"iap"
6,21,"iap"
14,18,"iap"
4,150,"iap"
4,23,"iap"
0,20,"iap"
5,270,"iap"
5,65,"iap"
4,150,"iap"
5,45,"iap"
2,150,"iap"
3,215,"iap"
5,30,"iap"
1,250,"iap"
3,78,"iap"
2,215,"iap"
7,66,"iap"
0,0,"iap"
0,160,"iap"
2,0,"iap"
5,150,"iap"
1,100,"iap"
3,200,"iap"
0,20,"iap"
4,455,"iap"
6,104,"iap"
8,40,"iap"
1,400,"iap"
0,20,"iap"
0,700,"iap"
1,520,"iap"
3,375,"iap"
5,120,"iap"
1,75,"iap"
4,220,"iap"
2,140,"iap"
1,45,"iap"
0,220,"iap"
0,0,"iap"
0,700,"iap"
3,50,"iap"
3,215,"iap"
1,120,"iap"
8,114,"iap"
1,220,"iap"
4,125,"iap"
5,25,"iap"
3,25,"iap"
0,75,"iap"
5,235,"iap"
3,150,"iap"
4,65,"iap"
4,140,"iap"
2,70,"iap"
10,5,"iap"
2,145,"iap"
7,55,"iap"
6,260,"iap"
2,300,"iap"
0,700,"iap"
2,25,"iap"
0,0,"iap"
2,75,"iap"
27,38,"iap"
3,50,"iap"
2,0,"iap"
2,250,"iap"
1,200,"iap"
1,20,"iap"
3,150,"iap"
5,225,"iap"
1,420,"iap"
6,33,"iap"
4,135,"iap"
6,55,"iap"
3,225,"iap"
9,270,"iap"
5,160,"iap"
2,100,"iap"
1,235,"iap"
1,25,"iap"
1,25,"iap"
2,275,"iap"
2,80,"iap"
5,115,"iap"
3,3,"iap"
1,25,"iap"
8,65,"iap"
3,275,"iap"
0,20,"iap"
4,105,"iap"
7,105,"iap"
3,280,"iap"
3,95,"iap"
2,115,"iap"
1,120,"iap"
9,237,"iap"
0,0,"iap"
2,200,"iap"
3,220,"iap"
3,100,"iap"
1,265,"iap"
0,0,"iap"
6,60,"iap"
5,225,"iap"
0,0,"iap"
3,103,"iap"
4,80,"iap"
46,665,"iap"
2,25,"iap"
2,70,"iap"
6,0,"iap"
0,0,"iap"
0,0,"iap"
2,45,"iap"
5,155,"iap"
3,55,"iap"
5,120,"iap"
1,25,"iap"
0,20,"iap"
0,0,"iap"
6,200,"iap"
0,0,"iap"
2,125,"iap"
3,325,"iap"
1,25,"iap"
4,170,"iap"
1,195,"iap"
0,0,"iap"
1,175,"iap"
9,260,"iap"
1,100,"iap"
4,163,"iap"
1,120,"iap"
3,70,"iap"
2,25,"iap"
1,25,"iap"
9,88,"iap"
3,0,"iap"
5,150,"iap"
5,35,"iap"
1,100,"iap"
5,10,"iap"
0,0,"iap"
2,195,"iap"
2,25,"iap"
148,76,"iap"
4,15,"iap"
10,40,"iap"
0,0,"iap"
1,25,"iap"
6,31,"iap"
0,20,"iap"
2,0,"iap"
3,0,"iap"
2,150,"iap"
1,220,"iap"
6,30,"iap"
47,20,"iap"
6,115,"iap"
1,20,"iap"
2,250,"iap"
3,170,"iap"
3,220,"iap"
3,215,"iap"
1,45,"iap"
2,20,"iap"
5,100,"iap"
4,55,"iap"
4,175,"iap"
1,120,"iap"
5,50,"iap"
2,40,"iap"
2,0,"iap"
6,200,"iap"
21,113,"iap"
5,171,"iap"
4,135,"iap"
3,0,"iap"
7,80,"iap"
2,175,"iap"
3,100,"iap"
37,65,"iap"
0,0,"iap"
0,0,"iap"
9,20,"iap"
2,70,"iap"
29,60,"iap"
0,0,"iap"
1,325,"iap"
5,185,"iap"
4,17,"iap"
4,180,"iap"
0,0,"iap"
0,200,"iap"
0,220,"iap"
1,195,"iap"
0,40,"iap"
2,45,"iap"
1,215,"iap"
0,0,"iap"
0,20,"iap"
2,75,"iap"
4,30,"iap"
42,30,"iap"
24,573,"iap"
0,20,"iap"
0,0,"iap"
1,175,"iap"
9,5,"iap"
3,50,"iap"
5,35,"iap"
3,0,"iap"
0,20,"iap"
1,220,"iap"
5,170,"iap"
15,73,"iap"
5,125,"iap"
2,50,"iap"
12,140,"iap"
4,38,"iap"
0,0,"iap"
2,45,"iap"
16,215,"iap"
19,170,"iap"
0,20,"iap"
1,150,"iap"
5,145,"iap"
3,255,"iap"
5,35,"iap"
0,20,"iap"
0,0,"iap"
5,55,"iap"
11,170,"iap"
11,131,"iap"
5,225,"iap"
4,120,"iap"
0,264,"iap"
6,40,"iap"
4,148,"iap"
11,155,"iap"
0,40,"iap"
5,50,"iap"
2,25,"iap"
0,0,"iap"
5,70,"iap"
5,93,"iap"
0,80,"iap"
2,0,"iap"
11,185,"iap"
4,95,"iap"
2,50,"iap"
7,63,"iap"
4,175,"iap"
4,100,"iap"
2,250,"iap"
3,90,"iap"
3,70,"iap"
6,177,"iap"
5,40,"iap"
9,50,"iap"
0,0,"iap"
0,0,"iap"
0,0,"iap"
4,175,"iap"
0,95,"iap"
4,120,"iap"
4,220,"iap"
0,0,"iap"
1,0,"iap"
17,20,"iap"
5,40,"iap"
6,200,"iap"
3,95,"iap"
8,50,"iap"
6,125,"iap"
6,125,"iap"
0,20,"iap"
11,207,"iap"
3,0,"iap"
25,500,"iap"
6,187,"iap"
0,155,"iap"
12,150,"iap"
1,325,"iap"
0,0,"iap"
0,0,"iap"
7,80,"iap"
0,0,"iap"
0,0,"iap"
0,0,"iap"
0,75,"iap"
0,0,"iap"
4,200,"iap"
3,0,"iap"
4,55,"iap"
8,545,"iap"
19,553,"iap"
5,35,"iap"
2,50,"iap"
6,50,"iap"
4,140,"iap"
0,0,"iap"
2,5,"iap"
13,183,"iap"
1,270,"iap"
2,50,"iap"
5,25,"iap"
2,200,"iap"
7,5,"iap"
1,400,"iap"
3,135,"iap"
0,0,"iap"
1,25,"iap"
1,100,"iap"
3,295,"iap"
3,25,"iap"
0,0,"iap"
1,25,"iap"
2,170,"iap"
2,50,"iap"
1,140,"iap"
4,178,"iap"
1,120,"iap"
4,0,"iap"
1,270,"iap"
1,75,"iap"
3,165,"iap"
3,75,"iap"
44,193,"iap"
1,120,"iap"
4,5,"iap"
7,30,"iap"
7,5,"iap"
0,20,"iap"
33,321,"iap"
2,240,"iap"
7,40,"iap"
4,240,"iap"
7,255,"iap"
2,119,"iap"
12,97,"iap"
7,70,"iap"
9,30,"iap"
2,50,"iap"
0,20,"iap"
0,20,"iap"
0,0,"iap"
4,295,"iap"
8,145,"iap"
2,125,"iap"
2,50,"iap"
28,150,"iap"
3,55,"iap"
5,265,"iap"
2,150,"iap"
1,195,"iap"
0,0,"iap"
4,100,"iap"
7,70,"iap"
3,625,"iap"
3,200,"iap"
2,10,"iap"
4,30,"iap"
4,180,"iap"
0,40,"iap"
5,270,"iap"
24,100,"iap"
0,0,"iap"
1,140,"iap"
0,0,"iap"
0,0,"iap"
1,250,"iap"
3,170,"iap"
30,221,"iap"
0,0,"iap"
3,25,"iap"
2,0,"iap"
2,500,"iap"
0,0,"iap"
2,0,"iap"
4,85,"iap"
3,40,"iap"
2,175,"iap"
3,0,"iap"
0,0,"iap"
2,175,"iap"
7,95,"iap"
2,65,"iap"
3,0,"iap"
0,700,"iap"
3,215,"iap"
4,45,"iap"
7,40,"iap"
1,190,"iap"
0,20,"iap"
2,2,"iap"
2,145,"iap"
3,20,"iap"
3,255,"iap"
4,251,"iap"
10,250,"iap"
2,230,"iap"
9,100,"iap"
1,25,"iap"
3,250,"iap"
5,30,"iap"
4,144,"iap"
2,50,"iap"
1,45,"iap"
4,10,"iap"
4,35,"iap"
7,45,"iap"
4,20,"iap"
4,20,"iap"
10,181,"iap"
1,25,"iap"
1,12,"iap"
9,200,"iap"
7,175,"iap"
4,75,"iap"
0,170,"iap"
0,0,"iap"
20,65,"iap"
0,0,"iap"
3,165,"iap"
7,603,"iap"
3,45,"iap"
2,275,"iap"
5,150,"iap"
3,300,"iap"
2,270,"iap"
4,105,"iap"
1,550,"iap"
3,0,"iap"
3,100,"iap"
5,145,"iap"
0,80,"iap"
2,125,"iap"
4,200,"iap"
6,0,"iap"
14,96,"iap"
11,25,"iap"
4,50,"iap"
1,20,"iap"
4,155,"iap"
4,40,"iap"
7,33,"iap"
15,50,"iap"
3,340,"iap"
3,25,"iap"
3,133,"iap"
3,100,"iap"
2,0,"iap"
1,25,"iap"
2,0,"iap"
9,46,"iap"
1,270,"iap"
1,345,"iap"
0,0,"iap"
3,100,"iap"
2,45,"iap"
1,175,"iap"
1,325,"iap"
1,250,"iap"
2,40,"iap"
4,75,"iap"
3,295,"iap"
3,45,"iap"
2,175,"iap"
1,65,"iap"
6,50,"iap"
7,10,"iap"
2,220,"iap"
1,30,"iap"
3,270,"iap"
10,221,"iap"
7,0,"iap"
0,0,"iap"
1,20,"iap"
0,0,"iap"
22,208,"iap"
1,405,"iap"
0,0,"iap"
5,171,"iap"
2,255,"iap"
3,100,"iap"
6,255,"iap"
10,193,"iap"
4,85,"iap"
6,30,"iap"
0,0,"iap"
4,200,"iap"
6,550,"iap"
4,40,"iap"
3,70,"iap"
5,160,"iap"
0,0,"iap"
1,200,"iap"
3,185,"iap"
0,20,"iap"
2,50,"iap"
0,0,"iap"
5,75,"iap"
0,0,"iap"
1,365,"iap"
6,40,"iap"
1,100,"iap"
6,0,"iap"
0,20,"iap"
3,25,"iap"
3,0,"iap"
2,70,"iap"
3,100,"iap"
5,60,"iap"
3,270,"iap"
7,251,"iap"
3,60,"iap"
14,80,"iap"
3,150,"iap"
16,59,"iap"
5,120,"iap"
13,248,"iap"
3,100,"iap"
4,70,"iap"
5,155,"iap"
0,96,"iap"
4,85,"iap"
0,20,"iap"
4,75,"iap"
3,83,"iap"
6,30,"iap"
0,0,"iap"
14,453,"iap"
3,170,"iap"
6,35,"iap"
12,95,"iap"
2,225,"iap"
2,70,"iap"
4,90,"iap"
6,30,"iap"
6,75,"iap"
14,275,"iap"
0,0,"iap"
1,850,"iap"
0,0,"iap"
2,100,"iap"
6,30,"iap"
4,50,"iap"
3,45,"iap"
21,10,"iap"
3,65,"iap"
4,170,"iap"
6,105,"iap"
7,38,"iap"
0,20,"iap"
3,80,"iap"
5,50,"iap"
19,30,"iap"
0,16,"iap"
0,75,"iap"
4,195,"iap"
3,190,"iap"
7,70,"iap"
1,45,"iap"
