"games_before_purchase","balance_before_purchase","purchase_type"
16,27,"iap"
2,510,"iap"
9,185,"iap"
4,10,"iap"
2,65,"iap"
7,10,"iap"
10,0,"iap"
17,0,"iap"
37,10,"iap"
3,190,"iap"
22,221,"iap"
274,24,"iap"
49,58,"iap"
8,10,"iap"
18,87,"iap"
4,100,"iap"
1,500,"iap"
2,150,"iap"
18,70,"iap"
177,1,"iap"
100,92,"iap"
1,500,"iap"
4,90,"iap"
17,100,"iap"
5,130,"iap"
4,1,"iap"
1,20,"iap"
7,20,"iap"
5,30,"iap"
12,160,"iap"
18,0,"iap"
14,208,"iap"
78,35,"iap"
16,318,"iap"
1,290,"iap"
5,50,"iap"
6,10,"iap"
13,99,"iap"
1,10,"iap"
6,10,"iap"
52,243,"iap"
4,220,"iap"
1,500,"iap"
2,500,"iap"
11,70,"iap"
4,450,"iap"
5,150,"iap"
18,102,"iap"
36,65,"iap"
3,10,"iap"
4,20,"iap"
12,10,"iap"
13,298,"iap"
21,31,"iap"
5,270,"iap"
36,37,"iap"
21,190,"iap"
0,0,"iap"
11,25,"iap"
5,70,"iap"
38,64,"iap"
34,10,"iap"
4,80,"iap"
1,60,"iap"
4,70,"iap"
5,10,"iap"
12,90,"iap"
447,93,"iap"
2,50,"iap"
3,30,"iap"
6,40,"iap"
67,3,"iap"
89,74,"iap"
438,173,"iap"
6,60,"iap"
9,200,"iap"
28,240,"iap"
6,290,"iap"
3,55,"iap"
27,43,"iap"
2,80,"iap"
7,50,"iap"
28,16,"iap"
11,30,"iap"
5,10,"iap"
57,1436,"iap"
40,26,"iap"
32,53,"iap"
10,80,"iap"
0,0,"iap"
3,10,"iap"
3,80,"iap"
14,92,"iap"
4,89,"iap"
40,20,"iap"
8,0,"iap"
8,30,"iap"
22,93,"iap"
9,156,"iap"
8,43,"iap"
0,0,"iap"
0,0,"iap"
14,30,"iap"
2,10,"iap"
2,10,"iap"
9,27,"iap"
7,50,"iap"
52,158,"iap"
12,87,"iap"
5,60,"iap"
3,0,"iap"
1,40,"iap"
3,30,"iap"
38,940,"iap"
10,0,"iap"
52,61,"iap"
4,10,"iap"
3,30,"iap"
2,50,"iap"
2,160,"iap"
8,20,"iap"
3,10,"iap"
3,50,"iap"
20,395,"iap"
66,65,"iap"
147,227,"iap"
218,1125,"iap"
103,666,"iap"
11,146,"iap"
8,211,"iap"
7,10,"iap"
3,10,"iap"
71,121,"iap"
144,7,"iap"
6,44,"iap"
55,120,"iap"
3,50,"iap"
17,80,"iap"
13,45,"iap"
23,885,"iap"
35,1,"iap"
29,80,"iap"
7,10,"iap"
7,125,"iap"
2,0,"iap"
12,110,"iap"
25,45,"iap"
3,95,"iap"
5,118,"iap"
9,30,"iap"
10,20,"iap"
11,131,"iap"
2,50,"iap"
1,10,"iap"
8,28,"iap"
7,10,"iap"
10,2,"iap"
22,100,"iap"
19,102,"iap"
0,500,"iap"
0,500,"iap"
7,240,"iap"
8,20,"iap"
5,82,"iap"
1,50,"iap"
1,10,"iap"
152,255,"iap"
38,100,"iap"
4,40,"iap"
2,150,"iap"
67,10,"iap"
16,203,"iap"
5,0,"iap"
2,140,"iap"
5,32,"iap"
42,95,"iap"
6,300,"iap"
2,0,"iap"
9,70,"iap"
97,45,"iap"
4,80,"iap"
3,10,"iap"
45,144,"iap"
3,10,"iap"
21,33,"iap"
4,15,"iap"
3,150,"iap"
5,52,"iap"
4,10,"iap"
32,8,"iap"
1,40,"iap"
34,590,"iap"
22,32,"iap"
15,0,"iap"
1,40,"iap"
3,60,"iap"
0,0,"iap"
0,500,"iap"
0,0,"iap"
6,10,"iap"
12,25,"iap"
0,0,"iap"
0,0,"iap"
4,100,"iap"
0,40,"iap"
2,105,"iap"
37,24,"iap"
4,50,"iap"
8,100,"iap"
1,420,"iap"
11,0,"iap"
11,1175,"iap"
51,113,"iap"
4,110,"iap"
0,803,"iap"
2,40,"iap"
6,73,"iap"
1,180,"iap"
2,40,"iap"
44,48,"iap"
5,26,"iap"
2,35,"iap"
0,530,"iap"
5,36,"iap"
79,0,"iap"
5,60,"iap"
17,120,"iap"
9,19,"iap"
4,50,"iap"
20,142,"iap"
23,88,"iap"
27,1,"iap"
4,10,"iap"
6,11,"iap"
114,39,"iap"
51,112,"iap"
5,5,"iap"
29,110,"iap"
39,15,"iap"
5,10,"iap"
6,40,"iap"
94,60,"iap"
1,331,"iap"
84,120,"iap"
14,0,"iap"
4,330,"iap"
13,70,"iap"
16,100,"iap"
11,2,"iap"
5,100,"iap"
18,30,"iap"
3,110,"iap"
7,21,"iap"
21,31,"iap"
9,113,"iap"
42,43,"iap"
65,270,"iap"
3,20,"iap"
5,100,"iap"
32,135,"iap"
1,210,"iap"
11,60,"iap"
3,130,"iap"
1,360,"iap"
1,474,"iap"
4,10,"iap"
47,1,"iap"
3,120,"iap"
3,40,"iap"
5,0,"iap"
14,475,"iap"
3,40,"iap"
2,200,"iap"
0,500,"iap"
29,10,"iap"
0,0,"iap"
3,10,"iap"
20,80,"iap"
8,140,"iap"
6,120,"iap"
10,112,"iap"
5,0,"iap"
10,20,"iap"
6,56,"iap"
1,430,"iap"
6,45,"iap"
4,70,"iap"
3,220,"iap"
28,30,"iap"
10,78,"iap"
36,5,"iap"
1,60,"iap"
3,35,"iap"
8,30,"iap"
8,40,"iap"
3,60,"iap"
4,100,"iap"
2,190,"iap"
2,10,"iap"
8,80,"iap"
0,500,"iap"
4,40,"iap"
4,330,"iap"
4,120,"iap"
12,140,"iap"
45,119,"iap"
2,220,"iap"
13,22,"iap"
1,0,"iap"
2,260,"iap"
1,170,"iap"
3,10,"iap"
2,80,"iap"
14,76,"iap"
6,20,"iap"
18,40,"iap"
19,90,"iap"
7,98,"iap"
3,30,"iap"
7,40,"iap"
44,247,"iap"
55,230,"iap"
3,60,"iap"
7,50,"iap"
1,240,"iap"
1,61,"iap"
3,220,"iap"
14,117,"iap"
2,10,"iap"
4,50,"iap"
12,94,"iap"
1,290,"iap"
1,40,"iap"
3,5,"iap"
6,100,"iap"
